Abstract,predict
"Update dependencies, Python 3.12 compatibility and CI workflow

- Update python dependencies
- Add compatibility with Python 3.12
- Modify CI workflow to address doc building issues
- Change time until an issue becomes inactive

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"docs: add kmhj13 as a contributor for code (#1263)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"removed cell outputs (#1245)

Co-authored-by: Kriti Mahajan <kritimhj@amazon.com>",0
"docs: add Yangliu-SY as a contributor for code (#1262)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"docs: add nparent1 as a contributor for code (#1261)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Add support for non-singleton treatment/outcome sets to ""has_directed_path"" method (#1247)

* Modifies has_directed_path and adds test

---------

Signed-off-by: Nicholas Parente <parentenickj@gmail.com>",0
"Fix issue #1254: pass the variable 'categorical' instead of the method 'is_categorical'

Based on the context of the codes, the variable 'categorical' should be passed in the function call of '_estimate_conditional_expectations' instead of the method 'is_categorical'

Signed-off-by: Yangliu-SY <144334404+Yangliu-SY@users.noreply.github.com>",1
"Bump aiohttp from 3.9.4 to 3.10.2

Bumps [aiohttp](https://github.com/aio-libs/aiohttp) from 3.9.4 to 3.10.2.
- [Release notes](https://github.com/aio-libs/aiohttp/releases)
- [Changelog](https://github.com/aio-libs/aiohttp/blob/master/CHANGES.rst)
- [Commits](https://github.com/aio-libs/aiohttp/compare/v3.9.4...v3.10.2)

---
updated-dependencies:
- dependency-name: aiohttp
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump notebook from 7.0.7 to 7.2.2

Bumps [notebook](https://github.com/jupyter/notebook) from 7.0.7 to 7.2.2.
- [Release notes](https://github.com/jupyter/notebook/releases)
- [Changelog](https://github.com/jupyter/notebook/blob/@jupyter-notebook/tree@7.2.2/CHANGELOG.md)
- [Commits](https://github.com/jupyter/notebook/compare/@jupyter-notebook/tree@7.0.7...@jupyter-notebook/tree@7.2.2)

---
updated-dependencies:
- dependency-name: notebook
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Fix incorrect edges in `adjacency_matrix_to_graph` (#1202)

* Fix matrix bug

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

* Fixed graphviz import

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

---------

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>",0
"Add examples from ""Causal Inference and Discovery in Python"" to tests (#1165)

* Add test file

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>

added chapter 6

Fix

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>

Add chapter 8

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>

Fix formatting issue with linter

Add references

* Added reference message

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

* Added econml requirement

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

* removed econml from imports

Signed-off-by: Amit Sharma <amit_sharma@live.com>

---------

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>
Signed-off-by: Amit Sharma <amit_sharma@live.com>
Co-authored-by: Amit Sharma <amit_sharma@live.com>",0
"Effect estimation over timeseries data (#1218)

* Library functions for temporal causal functionality

* shifting plotter function

* printing graph: best practices

* added docstrings

* moved datasets

* updated tutorial notebook

* sphinx documentation

* updated shifting columns with 0,1,..,max_lag

* support for dot format

* tigramite support

* updated filter to be a hidden function

* black and isort utils

* black and isort timeseries

* updated notebook text

Signed-off-by: Amit Sharma <amit_sharma@live.com>

* integer range fix

* correction in timestamp : notebook text

* time lagged causal estimation

* removed cell outputs

* find ancestors

* include ancestors in notebook

* formatting changes

* comments : notebook

* multiple time lags : csv graph'

* multiple time lags

* unrolled graph using bfs

* cleanup of functions

* removed find parents and ancestors

* tests for causal graph creation

* tests for adding lagged edges

* tests for shifting columns


* tigramite dependency added

---------

Signed-off-by: Amit Sharma <amit_sharma@live.com>
Co-authored-by: Amit Sharma <amit_sharma@live.com>",0
"Update paper references

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Update docsite publish steps (#1235)

* limit doc pubilcation

---------

Signed-off-by: Chris Trevino <chtrevin@microsoft.com>",0
"list out docsite contents pre-publish (#1234)

Signed-off-by: Chris Trevino <chtrevin@microsoft.com>",0
"Counterfactual fairness (#1203)

Add example notebook for counterfactual fairness using GCM

Following the paper Estimates Counterfactual Fairness following Kusner et al. (2018)

---------

Signed-off-by: Kriti Mahajan <kritimhj@amazon.com>",0
"Change OneHotEncoder parameter from ""sparse"" to ""sparse_output""

The ""sparse"" parameter is deprecated and was renamed to ""sparse_output"".

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Change default parameters for Shapley estimator

This should significantly speed up some calculations for larger graphs. In this regard, also increased the default samples for the anomaly attribution to balance the reduced number of Shapley run.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Change default parameters of ICC for speedup

Taking less samples to estimate ICC. This might lead to higher variance in the estimate, but speeds it up by multiple factors.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Remove existing causal mechanisms when creating GCM

Before, when a causal graph had causal mechanisms assigned, they were also used when creating a new GCM object based on it. Now, they are removed (from a copied version of the graph).

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Add new method to merge p-values using FDR

The method merges p-values by taking the minimum of the adjusted p-values. This then represents a p-value for a global hypothesis.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Bump setuptools from 69.0.2 to 70.0.0 (#1226)

Bumps [setuptools](https://github.com/pypa/setuptools) from 69.0.2 to 70.0.0.
- [Release notes](https://github.com/pypa/setuptools/releases)
- [Changelog](https://github.com/pypa/setuptools/blob/main/NEWS.rst)
- [Commits](https://github.com/pypa/setuptools/compare/v69.0.2...v70.0.0)

---
updated-dependencies:
- dependency-name: setuptools
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Bump zipp from 3.17.0 to 3.19.1 (#1225)

Bumps [zipp](https://github.com/jaraco/zipp) from 3.17.0 to 3.19.1.
- [Release notes](https://github.com/jaraco/zipp/releases)
- [Changelog](https://github.com/jaraco/zipp/blob/main/NEWS.rst)
- [Commits](https://github.com/jaraco/zipp/compare/v3.17.0...v3.19.1)

---
updated-dependencies:
- dependency-name: zipp
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Bump certifi from 2023.11.17 to 2024.7.4 (#1224)

Bumps [certifi](https://github.com/certifi/python-certifi) from 2023.11.17 to 2024.7.4.
- [Commits](https://github.com/certifi/python-certifi/compare/2023.11.17...2024.07.04)

---
updated-dependencies:
- dependency-name: certifi
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"docs: small fix in user guide

Signed-off-by: yogabonito <yogabonito@users.noreply.github.com>",0
"Bump ws from 8.11.0 to 8.17.1 in /docs/version_patcher

Bumps [ws](https://github.com/websockets/ws) from 8.11.0 to 8.17.1.
- [Release notes](https://github.com/websockets/ws/releases)
- [Commits](https://github.com/websockets/ws/compare/8.11.0...8.17.1)

---
updated-dependencies:
- dependency-name: ws
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump urllib3 from 2.1.0 to 2.2.2

Bumps [urllib3](https://github.com/urllib3/urllib3) from 2.1.0 to 2.2.2.
- [Release notes](https://github.com/urllib3/urllib3/releases)
- [Changelog](https://github.com/urllib3/urllib3/blob/main/CHANGES.rst)
- [Commits](https://github.com/urllib3/urllib3/compare/2.1.0...2.2.2)

---
updated-dependencies:
- dependency-name: urllib3
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump tornado from 6.4 to 6.4.1

Bumps [tornado](https://github.com/tornadoweb/tornado) from 6.4 to 6.4.1.
- [Changelog](https://github.com/tornadoweb/tornado/blob/master/docs/releases.rst)
- [Commits](https://github.com/tornadoweb/tornado/compare/v6.4.0...v6.4.1)

---
updated-dependencies:
- dependency-name: tornado
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"docs: add yogabonito as a contributor for doc (#1205)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"[DOC] fix typo (#1204)

* [DOC] fix typo

Signed-off-by: yogabonito <yogabonito@users.noreply.github.com>

* [DOC] small fix

The text first informs that PC, FCI, and GES will be considered, but instead of FCI the notebook shows LiNGAM.

Signed-off-by: yogabonito <yogabonito@users.noreply.github.com>

---------

Signed-off-by: yogabonito <yogabonito@users.noreply.github.com>",0
"Fix typos, 'Falsificaton' -> 'Falsification'

Signed-off-by: Jon Cowie <jonlives@gmail.com>",0
"Add RankBasedAnomalyScorer as an anomaly scorer

This is very closely related to the RescaledMedianCDFQuantileScorer but a statistically more well-defined approach. However, it is also slightly more conservative for small sample sizes.
Furthermore, it changes the way equal samples are counted in MedianCDFQuantileScorer by also including the test sample itself. This prevents a p-value of 0.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"docs: add rahulbshrestha as a contributor for code (#1195)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Vectorize operations for propensity score matching (#1179)

* Add vector operations

Added todo comment

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>

formatting fix

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>

bug fix with string name

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

* Vectorize remaining list

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>

---------

Signed-off-by: rahulbshrestha <rahulshrestha0101@gmail.com>",1
"Add a modified version of the auto MPG dataset (#1190)

Before, we were loading it directly from the UCI dataset repository. However, this cause connection issues and build fails. The dataset is now added directly with its respective license.

Further, removed the output of the causal discovery example notebook to ensure that it gets compiled while building.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Replacing numpy repmat with tile

NumPy matlib has been deprecated. Replacing the usage accordingly.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Small correction of average p-value merger

Before, a single p-value still got adjusted using the 2 * ... formula, which led to an unnecessary adjustment.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Update dowhy_causal_discovery_example.ipynb (#1186)

fix variable name for sachs data set

Signed-off-by: Christoph <krz@users.noreply.github.com>",0
"docs: add victor5as as a contributor for code (#1189)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Code for Multiply-Robust Causal Change Attribution (#1183)

Add distribution_change_robust method

Adding a new distribution change method that more robust and converges faster. However, it does not support all kind of set functions. Currently, it supports mean and variance attributions.

Based on the paper:

Quintas-Martinez, V., Bahadori, M. T., Santiago, E., Mu, J., Janzing, D., and Heckerman, D. Multiply-Robust Causal Change Attribution, Proceedings of the 41st International Conference on Machine Learning, Vienna, Austria. PMLR 235, 2024.

Signed-off-by: Víctor Quintas-Martínez <vquintas@mit.edu>",0
"Bump requests from 2.31.0 to 2.32.0 (#1187)

---
updated-dependencies:
- dependency-name: requests
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Modify graphviz installation command (#1178)

Modify graphviz installation command in README.rst, contributing-code.rst, and install.rst. Solves https://github.com/py-why/dowhy/issues/1172

Signed-off-by: Harsh Sinha <harsh.sinha@pitt.edu>",0
"Bump werkzeug from 3.0.1 to 3.0.3 (#1174)

Bumps [werkzeug](https://github.com/pallets/werkzeug) from 3.0.1 to 3.0.3.
- [Release notes](https://github.com/pallets/werkzeug/releases)
- [Changelog](https://github.com/pallets/werkzeug/blob/main/CHANGES.rst)
- [Commits](https://github.com/pallets/werkzeug/compare/3.0.1...3.0.3)

---
updated-dependencies:
- dependency-name: werkzeug
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Bump jinja2 from 3.1.3 to 3.1.4 (#1175)

Bumps [jinja2](https://github.com/pallets/jinja) from 3.1.3 to 3.1.4.
- [Release notes](https://github.com/pallets/jinja/releases)
- [Changelog](https://github.com/pallets/jinja/blob/main/CHANGES.rst)
- [Commits](https://github.com/pallets/jinja/compare/3.1.3...3.1.4)

---
updated-dependencies:
- dependency-name: jinja2
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Bump tqdm from 4.66.1 to 4.66.3 (#1173)

Bumps [tqdm](https://github.com/tqdm/tqdm) from 4.66.1 to 4.66.3.
- [Release notes](https://github.com/tqdm/tqdm/releases)
- [Commits](https://github.com/tqdm/tqdm/compare/v4.66.1...v4.66.3)

---
updated-dependencies:
- dependency-name: tqdm
 dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Use numpy tile instead of matrix (#1170)

Signed-off-by: zethson <lukas.heumos@posteo.net>",0
"model name change

Signed-off-by: Rahul Shrestha <rahulshrestha0101@gmail.com>",0
"docs: add dw-610 as a contributor for code (#1166)

* docs: update CONTRIBUTING.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

---------

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",0
"Bump aiohttp from 3.9.2 to 3.9.4 (#1162)

Bumps [aiohttp](https://github.com/aio-libs/aiohttp) from 3.9.2 to 3.9.4.
- [Release notes](https://github.com/aio-libs/aiohttp/releases)
- [Changelog](https://github.com/aio-libs/aiohttp/blob/master/CHANGES.rst)
- [Commits](https://github.com/aio-libs/aiohttp/compare/v3.9.2...v3.9.4)

---
updated-dependencies:
- dependency-name: aiohttp
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"updated formatting

Signed-off-by: Amit Sharma <amit_sharma@live.com>",0
"fixed argument calling bug

Signed-off-by: Amit Sharma <amit_sharma@live.com>",0
"Add new statistical method to merge p-values

This uses an improved version of the ""twice the average"" rule following recent results from M. Gasparini, R. Wang, and A. Ramdas, *Combining exchangeable p-values*, arXiv 2404.03484, 2024.

This new method is now used by default when merging p-values. Accordingly, the quantile based method was renamed to be more consistent with the naming pattern.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Bump peaceiris/actions-gh-pages from 3 to 4

Bumps [peaceiris/actions-gh-pages](https://github.com/peaceiris/actions-gh-pages) from 3 to 4.
- [Release notes](https://github.com/peaceiris/actions-gh-pages/releases)
- [Changelog](https://github.com/peaceiris/actions-gh-pages/blob/main/CHANGELOG.md)
- [Commits](https://github.com/peaceiris/actions-gh-pages/compare/v3...v4)

---
updated-dependencies:
- dependency-name: peaceiris/actions-gh-pages
 dependency-type: direct:production
 update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump idna from 3.6 to 3.7

Bumps [idna](https://github.com/kjd/idna) from 3.6 to 3.7.
- [Release notes](https://github.com/kjd/idna/releases)
- [Changelog](https://github.com/kjd/idna/blob/master/HISTORY.rst)
- [Commits](https://github.com/kjd/idna/compare/v3.6...v3.7)

---
updated-dependencies:
- dependency-name: idna
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Adjust format based on new formatter version

The new black formatter version (24.3.0) requires new changes, which are addressed in this commit.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"[DOC] tiny improvements (#1152)

Signed-off-by: yogabonito <yogabonito@users.noreply.github.com>",0
"Bump pillow from 10.2.0 to 10.3.0 (#1154)

Bumps [pillow](https://github.com/python-pillow/Pillow) from 10.2.0 to 10.3.0.
- [Release notes](https://github.com/python-pillow/Pillow/releases)
- [Changelog](https://github.com/python-pillow/Pillow/blob/main/CHANGES.rst)
- [Commits](https://github.com/python-pillow/Pillow/compare/10.2.0...10.3.0)

---
updated-dependencies:
- dependency-name: pillow
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Replace all occurrences of get Pandas' get_dummies() with skLearn OneHotEncoder (#1135)

* For consistency and avoidance of future issues, replace all occurrences of Pandas' get_dummies with skLearn's OneHotEncoder. Encoder lifespan: Reuses encoders for new estimate_effect() calls, and replaces existing encoders on CausalEstimator.fit(). Additional uses of get_dummies without side-effects or consistent encoding issues in do-Sampler Propensity Scores utilities also replaced for consistency.

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

* Add categorical encoding consistency tests for CausalEstimators. Fix bug in arg order for RegressionEstimator._do().

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

---------

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>
Co-authored-by: DAVID RAWLINSON <dave@causalwizard.app>",0
"Fix small typo in user guide (#1129)

Signed-off-by: Hongyu Lin <67950264+hon-gyu@users.noreply.github.com>",0
"Bump aiohttp from 3.9.1 to 3.9.2

Bumps [aiohttp](https://github.com/aio-libs/aiohttp) from 3.9.1 to 3.9.2.
- [Release notes](https://github.com/aio-libs/aiohttp/releases)
- [Changelog](https://github.com/aio-libs/aiohttp/blob/master/CHANGES.rst)
- [Commits](https://github.com/aio-libs/aiohttp/compare/v3.9.1...v3.9.2)

---
updated-dependencies:
- dependency-name: aiohttp
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump pillow from 10.1.0 to 10.2.0

Bumps [pillow](https://github.com/python-pillow/Pillow) from 10.1.0 to 10.2.0.
- [Release notes](https://github.com/python-pillow/Pillow/releases)
- [Changelog](https://github.com/python-pillow/Pillow/blob/main/CHANGES.rst)
- [Commits](https://github.com/python-pillow/Pillow/compare/10.1.0...10.2.0)

---
updated-dependencies:
- dependency-name: pillow
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump jupyterlab from 4.0.9 to 4.0.11

Bumps [jupyterlab](https://github.com/jupyterlab/jupyterlab) from 4.0.9 to 4.0.11.
- [Release notes](https://github.com/jupyterlab/jupyterlab/releases)
- [Changelog](https://github.com/jupyterlab/jupyterlab/blob/@jupyterlab/lsp@4.0.11/CHANGELOG.md)
- [Commits](https://github.com/jupyterlab/jupyterlab/compare/@jupyterlab/lsp@4.0.9...@jupyterlab/lsp@4.0.11)

---
updated-dependencies:
- dependency-name: jupyterlab
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump notebook from 7.0.6 to 7.0.7

Bumps [notebook](https://github.com/jupyter/notebook) from 7.0.6 to 7.0.7.
- [Release notes](https://github.com/jupyter/notebook/releases)
- [Changelog](https://github.com/jupyter/notebook/blob/@jupyter-notebook/tree@7.0.7/CHANGELOG.md)
- [Commits](https://github.com/jupyter/notebook/compare/@jupyter-notebook/tree@7.0.6...@jupyter-notebook/tree@7.0.7)

---
updated-dependencies:
- dependency-name: notebook
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump jupyter-lsp from 2.2.1 to 2.2.2 (#1137)

Bumps [jupyter-lsp](https://github.com/jupyter-lsp/jupyterlab-lsp) from 2.2.1 to 2.2.2.
- [Release notes](https://github.com/jupyter-lsp/jupyterlab-lsp/releases)
- [Changelog](https://github.com/jupyter-lsp/jupyterlab-lsp/blob/main/CHANGELOG.md)
- [Commits](https://github.com/jupyter-lsp/jupyterlab-lsp/commits)

---
updated-dependencies:
- dependency-name: jupyter-lsp
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
"Add nan check to kernel based independence test.

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Bump jinja2 from 3.1.2 to 3.1.3

Bumps [jinja2](https://github.com/pallets/jinja) from 3.1.2 to 3.1.3.
- [Release notes](https://github.com/pallets/jinja/releases)
- [Changelog](https://github.com/pallets/jinja/blob/main/CHANGES.rst)
- [Commits](https://github.com/pallets/jinja/compare/3.1.2...3.1.3)

---
updated-dependencies:
- dependency-name: jinja2
 dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Bump abatilo/actions-poetry from 2.4.0 to 3.0.0

Bumps [abatilo/actions-poetry](https://github.com/abatilo/actions-poetry) from 2.4.0 to 3.0.0.
- [Release notes](https://github.com/abatilo/actions-poetry/releases)
- [Changelog](https://github.com/abatilo/actions-poetry/blob/master/.releaserc)
- [Commits](https://github.com/abatilo/actions-poetry/compare/v2.4.0...v3.0.0)

---
updated-dependencies:
- dependency-name: abatilo/actions-poetry
 dependency-type: direct:production
 update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Update intro.rst (#1133)

Update intro.rst

fix link

Signed-off-by: Jinyoung <40735154+diligejy@users.noreply.github.com>",0
"Bump abatilo/actions-poetry from 2.3.0 to 2.4.0

Bumps [abatilo/actions-poetry](https://github.com/abatilo/actions-poetry) from 2.3.0 to 2.4.0.
- [Release notes](https://github.com/abatilo/actions-poetry/releases)
- [Changelog](https://github.com/abatilo/actions-poetry/blob/master/.releaserc)
- [Commits](https://github.com/abatilo/actions-poetry/compare/v2.3.0...v2.4.0)

---
updated-dependencies:
- dependency-name: abatilo/actions-poetry
 dependency-type: direct:production
 update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",0
"Fix double counting in two sided bootstrap confidence intervals (#1126)

* fixed double counting in bootstrap conf interval

Signed-off-by: Amit Sharma <amit_sharma@live.com>

* fixed double counting in bootstrap conf interval

Signed-off-by: Amit Sharma <amit_sharma@live.com>

* formatted correctly

Signed-off-by: Amit Sharma <amit_sharma@live.com>

---------

Signed-off-by: Amit Sharma <amit_sharma@live.com>",0
"Added documentation for creating causal model out of equations feature (#1124)

* added documentation for creating causal model out of equations feature

Signed-off-by: priyadutt <bhattpriyadutt@gmail.com>

* Giving only positive values to the log function

Signed-off-by: priyadutt <bhattpriyadutt@gmail.com>

---------

Signed-off-by: priyadutt <bhattpriyadutt@gmail.com>",0
"Update some versions and poetry.lock

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Fix bug with consistency of RegressionEstimator one-hot encoding (#1112)

* Fix bug with consistency of RegressionEstimator one-hot encoding by switching from pandas get_dummies to sklearn OneHotEncoder.

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

* Add unit tests for one_hot_encode util function. Verify equivalence and consistency on new data.

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

---------

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>
Co-authored-by: DAVID RAWLINSON <dave@causalwizard.app>",0
"Add accessor and comments about CausalModel's CausalEstimator cache. (#1113)

* Add an accessor and comments explaining the expected lifecycle and use of CausalEstimator objects stored in the CausalModel._estimator_cache dict. Accessor function gains test coverage and slightly simplifies logic via use in CausalModel.estimate_effect().

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

* Add unit test for CausalModel.get_estimator() and CausalEstimate.estimator, both CausalEstimator object references.

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>

---------

Signed-off-by: DAVID RAWLINSON <dave@causalwizard.app>
Co-authored-by: DAVID RAWLINSON <dave@causalwizard.app>",0
"Fix missing import for unit test

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
"Fix bug in networkx plot function with 0 error strenghts

Signed-off-by: Patrick Bloebaum <bloebp@amazon.com>",0
